title,genre,director,country,year
Рассказ о простой вещи,драма,Леонид Менакер,СССР,1975
Рассказ о семи повешенных (фильм),"драматический фильм и .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}экранизация книги[вд]",Николай СалтыковПётр Чардынин,СССР,1924
Рассказ о моём друге,документальный,И. Рассомахин,СССР,1971
Рассказы (фильм),"драма, комедия",Михаил Сегал,Россия,2012
Рассказ о любимой жене,драма,Канэто Синдо,Япония,1951
Рассказ неизвестного человека (фильм),драматический фильм,"Жалакявичюс, Витаутас Пранович",СССР,1981
Расскажи мне о дожде,комедийная драма и драматический фильм,Аньес Жауи,Франция,2008
Расскажи это пчёлам,"независимый кинематограф, драматический фильм, романтический фильм, .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}фильм о лесбиянках[вд] и романтическая драма",Аннабел Дженкел,Великобритания,9 сентября 2018
Рассеянный,комедия,Пьер Ришар,Франция,1970
Рассказ домовладельца,драма,Ясудзиро Одзу,Япония,1947
"Рассказ (фильм, 2018)",драма,Дженнифер Фокс,США,2018
Рассерженный гость,боевикдрама,Чжан Чэ,Гонконг,1972
Расскажи мне кино,"комедийная драма и .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}экранизация романа[вд]",Лоне Шерфиг,,21 октября 2023
